AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N1,N2,Len,Voc,Vol,Dif,Eff,AllocOps,DeallocOps,DerefUse,UniqueDerefUse,DerefSet,UniqueDerefSet,AgingRelatedBugs
5,51,2,47,333,46,8,5,8,5,57,5,39,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,421,46,243,62,164,42,66,28,0,0,133,168.4285714,34.42857143,0,134,0,0,0,0,0,19,13,19,15,0,2,0,0,0.17,45,0,0,34,142,391,2107,1378,3485,533,25122,232,1636485,1,3,54,10,4,4,0
0,6,0,8,16,30,2,2,2,1,6,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8,6,3.428571429,1,30,1,10,0,0,2,2,1,0,1,0,0,0,0,0,2,2,2,1,0,0,0,0,5,2,0,0,1,7,5,9,8,17,12,60,5,300,0,0,0,0,0,0,0
1,6,0,12,54,61,2,2,2,1,7,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,96,12,46,36,39,61,1,8,0,0,7,10,4,0,6,0,0,0,0,0,2,2,3,1,0,1,0,0,1.33,3,0,0,2,24,10,29,16,45,34,184,19,1818,0,0,1,1,1,1,0
5,30,1,149,712,66,5,4,5,2,36,5,26,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,921,95,351,79,244,50,367,84,0,0,199,250,46,12,192,0,0,0,0,0,24,8,24,15,0,4,0,0,0.14,64,0,0,31,237,341,1056,673,1729,578,9876,235,206876,0,0,103,18,0,0,0
5,43,2,89,681,77,8,7,8,3,50,4,33,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,842,85,453.7142857,149,338,72,107.1428571,139,0,0,242,317,71,2,244,0,0,0,0,0,42,42,51,20,0,5,0,0,0.16,90,0,0,42,267,1524,6813,4637,11450,1791,93418,373,5161341,0,1,84,25,6,4,0
6,32,0,53,248,32,5,5,6,1,38,6,30,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,332,53,223,91,161,32,4,21,0,0,119,144,32,0,112,0,0,0,0,0,12,12,12,4,0,2,0,0,0.14,30,0,0,11,90,155,585,446,1031,245,5948,109,150225,0,9,8,3,0,0,0
3,23,1,22,119,35,4,4,4,2,28,3,20,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,174,22,77,46,53,34,23,21,0,0,45,53,20,0,33,0,0,0,0,0,6,6,6,5,0,2,0,0,0.44,11,0,0,7,42,49,182,131,313,91,1637,54,35466,0,6,11,2,0,0,0
0,0,0,106,615,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,11,0,0,0,30,688,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,15,0,119,778,69,4,3,4.428571429,2,17,2,14,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,966,112,635,346,466.7142857,69,95,55,0,0,273.2857143,382.4285714,91.85714286,0,290.5714286,0,0,0,0,0,30.42857143,17.42857143,40.42857143,13,0,2.857142857,0,0,0.11,138.5714286,0,0,79,533,676,3921,2746,6667,1209,40423,781,2721054,0,0,76,34,0,0,0
8,58,3,59,348,64,20.28571429,20.28571429,29.28571429,14,69,8,55,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,469,57,284,52,215.2857143,64,24,46,0,0,316.4285714,399.8571429,43,32,324.8571429,0,0,0,0,0,65.28571429,65.28571429,97.28571429,39,0,3.428571429,0,0,0.23,102.8571429,0,0,74,128,312,1684,1303,2987,440,20995,237,1696054,0,0,100,26,29,3,0
